trial,primeCorrect,primeTime,primeDepth,stimDepth,extraDepth,driveFrames,nearToFar,diopters,direction,size,intensity,extraLatency,mainLatency,totalLatency,responseTime,correct,caseLabel,caseTrial,trialsAtStep,stepCorrect,expected,w,direction,stepsize,stepChange
193,TRUE,2.5975667,33,100,800,5,TRUE,2,down,0.25,31,0.088743,0.5383486,0.6270916,857.7741361,TRUE,far-080,38,6,6,4.5,2,down,1,0
196,TRUE,2.4801934,33,100,800,5,TRUE,2,down,0.25,31,0.0895134,0.6047944,0.6943078,874.0677994,TRUE,far-080,39,7,7,5.25,2,down,1,0
205,TRUE,3.562088,33,100,800,5,TRUE,2,down,0.25,31,0.0936341,0.5358253,0.6294594,904.4017677,TRUE,far-080,40,8,8,6,2,down,1,0
208,TRUE,1.9123318,33,100,800,5,TRUE,2,down,0.25,31,0.0906243,0.5445993,0.6352236,914.483018,TRUE,far-080,41,9,9,6.75,2,down,1,1
215,TRUE,1.5685111,33,100,800,5,TRUE,2,down,0.25,30,0.089787,0.5187174,0.6085044,943.6590157,TRUE,far-080,42,1,1,0.75,2,down,1,0
218,TRUE,2.1496532,33,100,800,5,TRUE,2,down,0.25,30,0.0918437,0.5278082,0.6196519,955.1516071,TRUE,far-080,43,2,2,1.5,3,down,1,0
222,TRUE,0.908016,33,100,800,5,TRUE,2,down,0.25,30,0.0892192,0.526687,0.6159062,969.982028,TRUE,far-080,44,3,3,2.25,3,down,1,0
227,TRUE,2.1340472,33,100,800,5,TRUE,2,down,0.25,30,0.0907269,0.5278172,0.6185441,990.3094815,TRUE,far-080,45,4,4,3,3,down,1,0
231,FALSE,2.3444061,33,100,800,5,TRUE,2,down,0.25,30,0.095631,0.5228099,0.6184409,1002.522595,TRUE,far-080,46,5,5,3.75,3,down,1,0
239,TRUE,1.5718814,33,100,800,5,TRUE,2,down,0.25,30,0.0902486,0.5299193,0.6201679,1033.542282,TRUE,far-080,46,5,5,3.75,3,down,1,0
245,TRUE,2.1684323,33,100,800,5,TRUE,2,down,0.25,30,0.0924566,0.5297739,0.6222305,1055.255617,TRUE,far-080,47,6,6,4.5,3,down,1,0
247,TRUE,2.2494543,33,100,800,5,TRUE,2,down,0.25,30,0.0888905,0.5320201,0.6209106,1061.553623,TRUE,far-080,48,7,7,5.25,3,down,1,0
250,TRUE,4.2014253,33,100,800,5,TRUE,2,down,0.25,30,0.0949666,0.5241629,0.6191295,1072.741179,TRUE,far-080,49,8,8,6,3,down,1,0
5,TRUE,1.5864114,33,100,800,10,TRUE,2,start,0.25,60,0.1667463,1.0123267,1.179073,45.4163489,TRUE,far-160,1,1,1,0.75,0.5,start,16,0
8,TRUE,2.4505577,33,100,800,10,TRUE,2,start,0.25,60,0.1692455,1.0059733,1.1752188,58.7777814,TRUE,far-160,2,2,2,1.5,1,start,16,0
14,TRUE,12.4855658,33,100,800,10,TRUE,2,start,0.25,60,0.1662637,1.01291,1.1791737,90.8265397,TRUE,far-160,3,3,3,2.25,1,start,16,0
16,TRUE,1.8584721,33,100,800,10,TRUE,2,down,0.25,44,0.172601,0.7470046,0.9196056,97.3708922,TRUE,far-160,4,1,1,0.75,0.5,down,16,0
22,TRUE,1.4597377,33,100,800,10,TRUE,2,down,0.25,44,0.1719907,0.7483369,0.9203276,121.9373147,TRUE,far-160,5,2,2,1.5,1,down,16,0
28,TRUE,1.9957275,33,100,800,10,TRUE,2,down,0.25,44,0.1695041,0.7467439,0.916248,143.653892,TRUE,far-160,6,3,3,2.25,1,down,16,0
35,TRUE,5.3911621,33,100,800,10,TRUE,2,down,0.25,28,0.1716506,0.4937363,0.6653869,197.7558924,TRUE,far-160,7,1,1,0.75,0.5,down,16,0
37,TRUE,3.6063786,33,100,800,10,TRUE,2,down,0.25,28,0.1742764,0.5009965,0.6752729,211.2290817,TRUE,far-160,8,2,2,1.5,1,down,16,0
42,TRUE,5.0454616,33,100,800,10,TRUE,2,down,0.25,28,0.1664051,0.497836,0.6642411,236.7175263,TRUE,far-160,9,3,3,2.25,1,down,16,0
46,TRUE,1.0872976,33,100,800,10,TRUE,2,down,0.25,12,0.1694667,0.2378671,0.4073338,248.6755557,FALSE,far-160,10,1,0,0.75,0.5,down,16,0
52,TRUE,1.5749053,33,100,800,10,TRUE,2,down,0.25,12,0.1742343,0.2386538,0.4128881,267.9885559,FALSE,far-160,11,2,0,1.5,1,down,16,0
59,TRUE,5.092793,33,100,800,10,TRUE,2,up,0.25,28,0.1694949,0.4929558,0.6624507,292.5639344,TRUE,far-160,12,1,1,0.75,1,up,8,0
62,TRUE,2.3608916,33,100,800,10,TRUE,2,up,0.25,28,0.1717916,0.5345601,0.7063517,304.0377285,TRUE,far-160,13,2,2,1.5,1,up,8,0
68,TRUE,7.8331267,33,100,800,10,TRUE,2,up,0.25,28,0.1691841,0.4956577,0.6648418,334.667402,TRUE,far-160,14,3,3,2.25,1,up,8,0
75,TRUE,2.8924522,33,100,800,10,TRUE,2,up,0.25,28,0.1685614,0.4945928,0.6631542,360.6291536,TRUE,far-160,15,4,4,3,1,up,8,0
78,TRUE,3.2692784,33,100,800,10,TRUE,2,up,0.25,28,0.1687469,0.6249121,0.793659,384.0439857,TRUE,far-160,16,5,5,3.75,1,up,8,0
82,TRUE,1.4234184,33,100,800,10,TRUE,2,down,0.25,20,0.1709011,0.3738167,0.5447178,400.2989134,TRUE,far-160,17,1,1,0.75,1,down,4,0
88,TRUE,4.0934876,33,100,800,10,TRUE,2,down,0.25,20,0.2248128,0.3628669,0.5876797,424.420854,TRUE,far-160,18,2,2,1.5,1,down,4,0
94,TRUE,3.5678836,33,100,800,10,TRUE,2,down,0.25,20,0.1733762,0.3648192,0.5381954,464.7833299,TRUE,far-160,19,3,3,2.25,1,down,4,0
97,TRUE,2.2936147,33,100,800,10,TRUE,2,down,0.25,20,0.1722339,0.3692905,0.5415244,497.7351437,TRUE,far-160,20,4,4,3,1,down,4,0
102,FALSE,1.1266496,33,100,800,10,TRUE,2,down,0.25,20,0.1693128,0.3688919,0.5382047,514.9359778,TRUE,far-160,21,5,5,3.75,1,down,4,0
107,TRUE,1.5058888,33,100,800,10,TRUE,2,down,0.25,20,0.1703849,0.3608643,0.5312492,532.7217069,TRUE,far-160,21,5,5,3.75,1,down,4,0
115,TRUE,1.4004841,33,100,800,10,TRUE,2,down,0.25,16,0.1709734,0.2984912,0.4694646,568.2182475,TRUE,far-160,22,1,1,0.75,1,down,4,0
116,TRUE,1.3764246,33,100,800,10,TRUE,2,down,0.25,16,0.1682515,0.2997176,0.4679691,570.9857082,TRUE,far-160,23,2,2,1.5,1,down,4,0
121,TRUE,2.3718794,33,100,800,10,TRUE,2,down,0.25,16,0.1690262,0.3025439,0.4715701,587.7752845,FALSE,far-160,24,3,2,2.25,1,down,4,0
127,TRUE,1.3864209,33,100,800,10,TRUE,2,down,0.25,16,0.1745384,0.307473,0.4820114,607.2837456,TRUE,far-160,25,4,3,3,1,down,4,0
